3.0,,,468,200,800
3.5,2.0,5.3,80,0,267
5.0,,,324,164,484
6.0,,,292,132,452
7.0,,,148,0,388
8.0,,,133,0,267
9.0,,,204,44,364
10.0,,,448,288,608
10.0,,,468,308,628
12.8,,,433,305,561
13.0,,,296,176,416
13.0,,,176,56,296
13.1,,,519,262,776
13.8,,,310,233,387
14.0,13.0,14.0,133,0,267
14.4,,,203,133,273
14.7,,,116,79,153
15.1,,,291,209,373
15.6,,,852,766,938
16.0,,,579,489,669
16.1,,,487,390,584
21.0,,,312,152,472
25.0,,,588,308,880
45.0,,,780,640,880
53.4,53.1,53.7,814,574,1054
54.1,53.8,54.4,231,71,391
55.4,55.1,55.7,461,261,661
55.5,55.0,56.0,328,200,460
55.5,55.0,56.0,100,60,140
55.7,55.4,56.0,487,291,687
55.9,55.6,56.2,579,379,779
56.0,55.5,56.5,428,200,680
56.0,55.5,56.5,100,60,140
56.5,56.2,56.8,816,576,1056
57.0,56.7,57.3,474,274,674
64.3,,,400,320,480
64.8,,,340,280,400
