2,1.8,2.1,358,340,375
2.7,,,276,260,292
3.4,,,358,340,375
3.9,3.6,4.2,355,306,811
4,,,363,345,380
4.6,,,270,255,285
5.1,,,358,340,375
7.2,,,270,255,285
8.5,,,350,340,360
10.5,,,370,350,390
11.6,11,12.2,332,315,348
12,11.6,12.3,468,382,661
13.9,13.5,14.3,287,251,311
13.9,13.5,14.3,293,279,300
15.2,13.7,16.7,338,304,705
15.3,13.8,16.8,338,304,705
15.3,13.8,16.8,314,304,591
15.7,15,16.4,469,410,449
15.7,15,16.4,555,371,788
15.7,15,16.4,552,357,787
15.8,15.6,16,564,350,793
16.5,15,18,535,350,782
16.5,15.5,17.5,393,357,428
16.8,16.4,17.5,393,373,412
16.8,16.4,17.2,425,412,453
17.6,17.2,18,341,324,356
17.6,17.2,18,388,347,430
17.6,17.2,18,374,363,385
19,18.5,19.5,397,378,414
19,18.8,19.2,459,435,481
20,19.7,20.3,332,303,364
22.1,23.6,20.6,333,278,387
25,26,24,588,533,640
34.5,33.9,35,672,448,896
36.7,36.1,37.2,746,497,995
38.4,35.9,40.9,839,377,1431
38.4,35.9,40.9,774,378,1424
38.4,35.9,40.9,660,376,1384
38.4,35.9,40.9,881,396,1435
38.4,35.9,40.9,711,349,1423
38.4,35.9,40.9,1024,544,1451
38.4,35.9,40.9,551,349,1310
38.4,35.9,40.9,749,395,1416
38.4,35.9,40.9,497,357,730
38.4,35.9,40.9,450,333,702
42.9,37.2,48.6,768,512,1024
44.5,40.4,48.6,965,643,1286
47.3,46,48.6,908,605,1210
50.6,50.4,50.8,600,600,
50.6,50.4,50.8,600,600,
50.6,50.4,50.8,600,600,
52.2,48.6,55.8,659,439,878
54,53.9,54.1,443,323,743
54.1,54,54.2,327,314,475
54.1,54,54.2,515,341,775
54.5,54.4,54.6,378,328,713
55.4,55.3,55.5,479,337,745
55.8,52.8,58.8,667,393,802
55.9,55.8,56,307,294,330
55.9,55.8,56,307,294,330
55.9,55.8,56,307,294,330
55.9,55.8,56,520,348,775
56,55.8,56.1,304,295,315
56.2,56.1,56.3,313,301,325
56.3,56.1,56.4,316,301,331
56.4,56.3,56.6,320,305,345
56.5,56.4,56.7,315,302,328
56.5,56.4,56.7,318,302,334
56.5,56.3,56.8,318,302,334
57,56.6,57.3,469,340,739
57.9,57.3,58.4,447,333,741
59.1,58.5,59.8,535,365,777
59.1,58.5,59.8,574,372,790
61.5,,,317,308,330
64.5,63.6,65.5,367,324,707
64.6,64.4,64.8,330,317,448
65,64.7,65.3,343,323,673
65,64.7,65.3,470,327,757
